nodes,1,1,1,1,1,2,2,2,2,2,4,4,4,4,4
cores,10,20,30,40,48,60,70,80,90,96,120,140,160,180,192
simulating cores,9,19,29,39,47,59,69,79,89,95,119,139,159,179,191
"SSE3 on, StabilityChecker on",,,,,,,,,,,,,,,
walltime,300,106,79.6,74.3,61.6,52.9,46,40.1,36.6,34.5,26.8,23.4,20.4,17.7,17
speedup,1.0,2.8,3.8,4.0,4.9,5.7,6.5,7.5,8.2,8.7,11.2,12.8,14.7,16.9,17.6
MLUPS/core,3.7,5.0,4.4,3.5,3.5,3.2,3.2,3.2,3.1,3.1,3.2,3.1,3.1,3.2,3.1
"SSE3 on, StabilityChecker off",,,,,,,,,,,,,,,
walltime,272,103,72.3,66.7,56,48,41.3,36.2,33.2,31.6,24.5,21.1,18.4,17.6,15.3
speedup,1.0,2.6,3.8,4.1,4.9,5.7,6.6,7.5,8.2,8.6,11.1,12.9,14.8,15.5,17.8
MLUPS/core,4.1,5.1,4.8,3.9,3.8,3.5,3.5,3.5,3.4,3.3,3.4,3.4,3.4,3.2,3.4
